date,total_clicks
-1,2836
0,4611
-2,3326
1,5483
-3,4475
2,5327
-4,4419
3,5249
-5,5703
4,4755
-6,4154
5,4739
-7,3610
6,3796
-8,3499
7,4590
-9,5649
8,5317
-10,11952
9,5973
10,5532
11,6336
12,5583
13,4735
14,4670
15,6675
16,7774
17,7252
18,7881
19,6518
20,3401
21,2864
22,3808
23,4312
24,3814
25,3029
26,2680
27,2785
28,1882
29,3089
30,3520
31,2799
32,3110
33,2562
34,2885
35,2343
36,2951
37,3523
38,3037
39,3027
40,2944
41,2707
42,2150
43,2909
44,3260
45,2788
46,2991
47,2523
48,2761
49,2312
50,2933
51,3935
52,3810
53,4311
54,3295
55,1492
56,1208
57,1648
58,2107
59,2383
60,2683
61,1861
62,1569
63,1168
64,2028
65,1863
66,2017
67,1618
68,1628
69,1305
70,1441
71,1647
72,2213
73,2229
74,1716
75,1528
76,1222
77,1066
78,1526
79,1319
80,662
81,350
82,703
83,1204
84,1445
85,1015
86,1379
87,786
88,988
89,1395
90,1544
91,2043
92,2130
93,2144
94,1891
95,2326
96,1793
97,1686
98,1516
99,2296
100,1778
101,1865
102,2149
103,2017
104,1490
105,1724
106,1976
107,2186
108,2309
109,1900
110,2175
111,1698
112,1968
113,2117
114,2753
115,3189
116,3147
117,3156
118,1597
119,1567
120,1801
121,2314
122,2373
123,2867
124,2592
125,1846
126,1365
127,1965
128,2604
129,2404
130,2465
131,1895
132,1615
133,1498
134,1574
135,2236
136,1956
137,1492
138,1588
139,1523
140,1374
141,2038
142,2166
143,2266
144,1850
145,1622
146,1289
147,1079
148,1656
149,1893
150,1806
151,2048
152,2343
153,2136
154,1651
155,3308
156,2445
157,2330
158,2281
159,1824
160,1793
161,2105
162,3488
163,2963
164,3067
165,3488
166,2598
167,1733
168,1826
169,2363
170,2685
171,2687
172,2207
173,2638
174,1941
175,1137
176,1868
177,2515
178,2155
179,2287
180,2053
181,1986
182,1298
183,1823
184,2609
185,2018
186,1497
187,1660
188,1343
189,1108
190,1624
191,1927
192,1367
193,1914
194,1122
195,1078
196,1438
197,1233
198,1205
199,1635
200,1853
201,1465
202,1595
203,1546
204,1408
205,2001
206,2203
207,1697
208,2120
209,1698
210,1683
211,2245
212,3072
213,3103
214,3235
215,3136
216,2222
217,1634
218,1814
219,3261
220,3085
221,2083
222,2277
223,1877
224,1337
225,1862
226,3130
227,2332
228,1938
229,2029
230,1909
231,1801
232,1318
233,2300
234,1854
235,2609
236,2281
237,1887
238,1907
239,3110
240,3557
241,3254
242,4130
243,2595
244,1308
245,482
246,402
247,351
248,411
249,305
250,352
251,480
252,159
253,180
254,246
255,104
256,107
257,215
258,60
259,36
260,48
261,94
262,131
263,92
264,288
265,101
266,44
267,56
268,118
