date,total_clicks
-1,5399
0,8548
-2,4902
1,8332
-3,6169
2,19872
-4,6178
3,12933
-5,6475
4,11490
-6,3594
5,9109
-7,2868
6,8452
-8,5060
7,7378
-9,6718
8,10096
-10,16150
9,10905
10,10377
11,9569
12,8813
13,9391
14,8888
15,11091
16,12073
17,12887
18,12157
19,8145
20,7649
21,5140
-23,11
22,7150
23,8128
24,7010
25,6756
26,6305
27,6472
28,5778
29,6733
30,12635
31,10253
32,9525
33,7899
34,7871
35,5887
36,6582
37,8282
38,8809
39,7507
40,7225
41,6649
42,6343
43,8294
44,11539
45,12086
46,11385
47,9226
48,5546
49,6213
50,7581
51,10079
52,8648
53,10296
54,9669
55,8669
56,5823
57,5736
58,6952
59,5903
60,5790
61,4223
62,3170
63,2731
64,3546
65,6019
66,5275
67,4141
68,3665
69,2815
70,2401
71,3076
72,4685
73,3639
74,3502
75,3074
76,2274
77,2037
78,2257
79,1943
80,1117
81,421
82,1333
83,2047
84,2888
85,3589
86,3899
87,2497
88,2993
89,5585
90,5843
91,5981
92,8116
93,7969
94,9661
95,11081
96,9834
97,7159
98,5566
99,6798
100,7598
101,7604
102,5951
103,4082
104,3427
105,3064
106,3256
107,4308
108,5712
109,4835
110,4151
111,3110
112,2949
113,3746
114,4272
115,4040
116,3737
117,3271
118,2638
119,2875
120,3504
121,4788
122,4754
123,5065
124,4193
125,3336
126,4375
127,5664
128,6616
129,7189
130,8119
131,7694
132,3874
133,3152
134,3110
135,3629
136,3706
137,3334
138,3067
139,2540
140,2495
141,3055
142,4728
143,3888
144,3111
145,3438
146,2813
147,2348
148,3039
149,2956
150,3606
151,4099
152,4052
153,4027
154,3607
155,4055
156,4959
157,4955
158,4403
159,4905
160,4258
161,4231
162,6440
163,9345
164,8834
165,11817
166,9863
167,4728
168,3062
169,3606
170,3909
171,3943
172,3698
173,3302
174,2677
175,2165
176,1851
177,4626
178,4302
179,3806
180,3858
181,2463
182,2430
183,3084
184,2877
185,2458
186,2629
187,2738
188,2322
189,2007
190,2502
191,2966
192,2747
193,2957
194,2169
195,1935
196,1848
197,1935
198,3485
199,3762
200,3963
201,3713
202,3618
203,3597
204,4751
205,6394
206,8188
207,9179
208,9162
209,4061
210,2636
211,3166
212,3422
213,3906
214,3419
215,3357
216,3319
217,2335
218,3113
219,4278
220,3340
221,3301
222,2969
223,2147
224,1630
225,2171
226,3232
227,3969
228,2851
229,3044
230,2622
231,2021
232,2506
233,3230
234,4407
235,3822
236,3919
237,3236
238,3780
239,4687
240,8682
241,12353
242,7565
243,5333
244,2865
245,1771
246,1471
247,1781
248,1520
249,1297
250,1189
251,1124
252,654
253,440
254,913
255,874
256,834
257,629
258,530
259,257
260,401
261,817
262,526
263,549
264,622
265,636
266,275
267,294
268,581
