date,total_clicks
-1,2875
0,6608
-2,2982
1,5478
-3,3521
2,12010
-4,4090
3,9452
-5,4161
4,7953
-6,3385
5,6053
-7,2993
6,5824
-8,4944
7,6231
-9,8650
8,7444
9,9612
10,8897
11,9798
12,7103
13,5461
14,4371
15,4676
16,6347
17,6248
18,5196
19,4820
20,4266
21,4083
22,5824
23,9192
24,8333
25,7545
26,7205
27,4758
28,4161
29,4788
30,5435
31,5752
32,5270
33,4773
34,4882
35,4182
36,5366
37,7970
38,7729
39,8670
40,6185
41,3566
42,3274
43,4802
44,5203
45,6185
46,6510
47,5979
48,4589
49,2830
50,2855
51,4029
52,4117
53,3962
54,4507
55,2841
56,2035
57,2917
58,3913
59,3199
60,2781
61,2654
62,2288
63,1929
64,2378
65,3081
66,3997
67,2962
68,3371
69,2156
70,2421
71,2807
72,3145
73,4191
74,4620
75,3403
76,2995
77,3456
78,5528
79,6090
80,5892
81,8599
82,6584
83,3023
84,1941
85,1855
86,2809
87,2913
88,2961
89,3372
90,2371
91,2060
92,2500
93,3935
94,2914
95,3031
96,2409
97,1954
98,1496
99,1672
100,2725
101,2927
102,2048
103,1925
104,1693
105,2026
106,2257
107,2659
108,3150
109,3057
110,3147
111,2211
112,2384
113,3286
114,5769
115,5723
116,7189
117,5575
118,2219
119,1365
120,1457
121,2044
122,2268
123,2338
124,1828
125,1598
126,1237
127,1202
128,2609
129,2401
130,2226
131,2316
132,1592
133,1003
134,1650
135,2132
136,1992
137,2096
138,1812
139,1323
140,1183
141,1922
142,2401
143,2286
144,2199
145,2127
146,2460
147,2294
148,3406
149,5799
150,6373
151,7571
152,7399
153,2442
154,1891
155,2492
156,2385
157,2223
158,2251
159,2615
160,1689
161,1320
162,1604
163,2129
164,1635
165,1823
166,1391
167,959
168,765
169,926
170,1017
171,1708
172,1446
173,1476
174,1366
175,1129
176,1490
177,1797
178,1518
179,1876
180,1633
181,1636
182,1277
183,1556
184,2462
185,2485
186,1941
187,2706
188,1981
189,2077
190,3360
191,5228
192,4963
193,6740
194,6502
195,3134
196,2094
197,1897
198,2239
199,3329
200,2294
201,2578
202,2157
203,1961
204,2138
205,2657
206,2066
207,2337
208,2851
209,2308
210,1693
213,3323
214,3060
215,2943
216,3011
217,3155
218,4349
219,9264
220,5158
221,2627
222,1323
223,1065
224,650
225,497
226,593
227,921
228,701
229,661
230,301
231,187
232,299
233,431
234,415
