date,total_clicks
-1,4694
0,14640
-2,5309
1,15525
-3,4706
2,15966
-4,5388
3,16406
-5,5303
4,15660
-6,3602
5,15061
-7,2829
6,11468
-8,3757
7,11541
-9,5265
8,15910
-10,4114
9,15766
-11,4325
10,17275
-12,3950
11,16293
-13,3263
12,15136
-14,3546
13,15006
-15,3489
14,18728
-16,4696
15,24239
-17,4599
16,32470
-18,11807
17,39567
18,42454
19,9509
20,6521
21,6545
22,7069
23,8726
24,9663
25,10152
26,8465
27,7677
28,6980
29,10809
30,14215
31,15250
32,12874
33,8689
34,6340
35,4036
36,5494
37,7804
38,7540
39,6079
40,6024
41,4914
42,4474
43,5147
44,5803
45,8035
46,6851
47,5763
48,4316
49,4821
50,6329
51,6982
52,6468
53,6282
54,5745
55,4966
56,6582
57,5877
58,7906
59,7899
60,8018
61,10600
62,7231
63,11704
64,17535
65,21831
66,25642
67,36841
68,4888
69,3616
70,2588
71,2233
72,3358
73,3692
74,3341
75,3384
76,2697
77,2749
78,2769
79,2418
80,3122
81,3585
82,3215
83,2978
84,2538
85,3382
86,3759
87,3420
88,3705
89,3877
90,3304
91,3110
92,3294
93,4566
94,5877
95,6609
96,6785
97,5461
98,5994
99,9142
100,10700
101,10997
102,8909
103,5306
104,3940
105,3022
106,4688
107,5849
108,5396
109,5119
110,4069
111,3985
112,3278
113,4148
114,5029
115,5330
116,4909
117,6135
118,3199
119,3581
120,4690
121,5699
122,5874
123,6566
124,5426
125,4118
126,4427
127,5467
128,6925
129,6992
130,6529
131,6862
132,8003
133,9777
134,14789
135,21905
136,27802
137,37174
138,4149
139,3194
140,3396
141,3439
142,4180
143,4527
144,4038
145,4414
146,3399
147,4707
148,5173
149,5851
150,5412
151,5150
152,3833
153,2719
154,2341
155,2818
156,3943
157,4383
158,4086
159,4102
160,3164
161,2197
162,3009
163,5061
164,4400
165,3385
166,2909
167,2210
168,2721
169,2572
170,4406
171,4030
172,3803
173,2477
174,2119
175,2834
176,2462
177,2530
178,3868
179,4576
180,4649
181,2262
182,2072
183,2825
184,5347
185,3545
186,3380
187,3115
188,3830
189,3841
190,4854
191,5347
192,5827
193,6010
194,6738
195,4958
196,7497
197,10326
198,10429
199,11472
200,10141
201,9010
202,6920
203,8050
204,8046
205,15134
206,20644
207,26953
208,7266
209,5258
210,5753
211,5679
212,7155
213,8348
214,7459
215,6815
216,7733
217,6346
220,9804
221,12649
222,11492
223,9272
224,10718
225,13265
226,16654
227,22173
228,10475
229,4709
230,2419
231,1929
232,1240
233,1405
234,2233
235,1315
236,1349
237,736
238,523
239,716
240,1083
241,1151
