date,total_clicks
-1,8955
0,16563
-2,9973
1,17293
-3,10025
2,22395
-4,7423
3,22674
-5,7910
4,20822
-6,7289
5,20262
-7,5897
6,17246
-8,5447
7,15560
-9,6066
8,20039
-10,6493
9,25596
-11,8263
10,24944
-12,5346
11,25169
-13,5524
12,22264
-14,5279
13,23414
-15,4399
14,24763
-16,8001
15,35814
-17,9186
16,43071
-18,16784
17,46812
18,50543
19,14800
20,12550
21,10207
22,12442
23,16141
24,13180
25,13141
26,12457
27,13209
28,11100
29,14710
30,19309
31,19851
32,16449
33,12073
34,8109
35,7459
36,8973
37,9610
38,10027
39,9994
40,9235
41,7306
42,6800
43,8460
44,10114
45,9790
46,9141
47,8924
48,7371
49,5726
50,9028
51,9046
52,9631
53,8114
54,12274
55,7275
56,7200
57,9706
58,11745
59,12885
60,12593
61,11978
62,11724
63,12199
64,21480
65,29381
66,37517
67,45892
68,8968
69,4739
70,2855
71,4026
72,4523
73,4573
74,4116
75,3497
76,3166
77,2300
78,3068
79,3270
80,2697
81,1780
82,1180
83,2129
84,2363
85,3040
86,4031
87,3572
88,2931
89,3061
90,5378
91,4715
92,6808
93,6213
94,6379
95,7214
96,5597
97,4664
98,5418
99,7277
100,7792
101,7359
102,8169
103,7257
104,6840
105,8249
106,12041
107,12399
108,15035
109,16028
110,8165
111,5859
112,6445
113,9539
114,8352
115,9029
116,7916
117,6953
118,6264
119,6181
120,9332
121,8176
122,7269
123,6877
124,6359
125,4573
126,5226
127,6185
128,6513
129,7435
130,7906
131,6164
132,5919
133,6423
134,8006
135,10450
136,10478
137,12295
138,11745
139,10603
140,13763
141,19929
142,27645
143,37200
144,49710
145,10061
146,6376
147,5728
148,6593
149,7424
150,6736
151,7081
152,6892
153,6880
154,7101
155,10047
156,10212
157,10484
158,10143
159,5262
160,3756
161,3794
162,4752
163,5435
164,5553
165,5461
166,4946
167,3959
168,2788
169,4202
170,4683
171,5134
172,4718
173,4468
174,3061
175,3507
176,3863
177,4201
178,4748
179,5455
180,3685
181,3896
182,3662
183,4553
184,4994
185,4393
186,4726
187,5096
188,4329
189,4607
190,5488
191,6496
192,5210
193,5362
194,5189
195,4617
196,5205
197,6286
198,6657
199,7331
200,6502
201,7297
202,6431
203,7508
204,10817
205,10893
206,13642
207,12038
208,11507
209,10051
210,11939
211,16393
212,22071
213,31649
214,41367
215,8052
216,5908
217,5038
218,6366
219,8858
220,9520
221,7977
222,8400
223,7653
224,6754
225,9820
226,10222
227,11565
228,11892
229,10614
230,9437
231,9636
232,9138
233,13234
234,15521
235,17065
236,16408
237,17917
238,21039
239,29086
240,40293
241,19799
242,5786
243,5960
244,4404
245,2011
246,1593
247,2053
248,1722
249,1600
250,1242
251,1000
252,646
253,642
254,929
255,873
256,617
257,552
258,519
259,465
260,428
261,765
262,904
263,854
264,681
265,575
266,367
267,469
268,612
269,669
