date,total_clicks
-1,5085
0,8106
-2,5058
1,9038
-3,5026
2,11447
-4,6095
3,10321
-5,6065
4,8889
-6,4366
5,7464
-7,3988
6,6562
-8,2421
7,6097
-9,2947
8,7569
-10,3543
9,10138
-11,3510
10,7854
-12,3263
11,6904
-13,3339
12,6284
-14,2972
13,6138
-15,4826
14,7218
-16,5754
15,6893
-17,5564
16,9178
-18,9803
17,7945
18,7413
19,8217
20,6047
21,7400
22,9453
23,12033
24,12591
25,11801
26,6229
27,5698
28,5428
29,5450
30,7208
31,5913
32,6212
33,5508
34,4471
35,7915
36,3759
37,5637
38,5615
39,3871
40,3526
41,3046
42,3494
43,3724
44,5117
45,4804
46,4950
47,4408
48,4229
49,5146
50,6618
51,9102
52,9889
53,8857
54,3459
55,2684
56,2297
57,2125
58,3492
59,3658
60,3151
61,2759
62,2200
63,2473
64,2809
65,3874
66,3446
67,3040
68,3154
69,2755
70,3068
71,3784
72,5225
73,5797
74,5652
75,2253
76,2178
77,1633
78,1930
79,2234
80,2634
81,2447
82,1856
83,1803
84,1490
85,1682
86,2100
87,1703
88,2409
89,2372
90,1693
91,1329
92,1420
93,1967
94,2005
95,2360
96,2136
97,1664
98,1565
99,1708
100,2432
101,2012
102,1797
103,1692
104,1758
105,1812
106,1594
107,2884
108,2693
109,2570
110,3617
111,2809
112,3119
113,3314
114,5045
115,7078
116,6144
117,4644
118,3775
119,3482
120,3745
121,5786
122,5299
123,5179
124,5258
125,3757
126,3296
127,3757
128,5223
129,5022
130,4200
131,4467
132,4046
133,3291
134,3639
135,4504
136,4624
137,3784
138,3251
139,2796
140,3055
141,3076
142,4142
143,3627
144,3338
145,2965
146,2432
147,2423
148,2621
149,3620
150,3247
151,3065
152,2818
153,2334
154,3164
155,3558
156,4869
157,5344
158,5236
159,2432
160,1964
161,1554
162,1794
163,2627
164,2434
165,1941
166,1518
167,1371
168,1240
169,1312
170,2127
171,1283
172,1526
173,1475
174,811
175,698
176,848
177,1315
178,1247
179,1116
180,814
181,875
182,1004
183,1068
184,1260
185,1207
186,1318
187,1305
188,852
189,1045
190,1328
191,1374
192,1567
193,1734
194,2539
195,2535
196,1784
197,2538
198,3155
199,3711
200,3534
201,2214
202,1905
203,1957
204,1855
205,2362
206,2688
207,2261
208,2609
209,2213
210,2300
211,2491
212,3176
213,2583
214,2487
215,2281
216,2073
217,1792
220,2980
221,3141
222,2850
223,3117
224,2594
225,3711
226,5078
227,5540
228,7667
229,4572
230,1077
231,720
232,481
233,581
234,618
235,409
236,396
237,303
238,186
239,207
240,242
241,709
