date,total_clicks
-1,9479
0,13117
-2,10587
1,14282
-3,10918
2,17775
-4,10875
3,16520
-5,13529
4,12946
-6,10294
5,13011
-7,9288
6,9461
-8,4913
7,8029
-9,5649
8,9316
-10,5240
9,11486
-11,4755
10,12826
-12,4369
11,9469
-13,3170
12,8955
-14,2335
13,6903
-15,2387
14,6277
-16,2264
15,7981
-17,2091
16,11447
-18,2647
17,11564
-19,2647
18,11196
-20,2523
19,12775
-21,1759
20,9961
-22,2218
21,7400
-23,5223
22,8137
-24,6139
23,9449
-25,13879
24,8869
25,9429
26,8135
27,8247
28,6068
29,7651
30,10452
31,10483
32,8197
33,7520
34,6593
35,5437
36,6948
37,9318
38,10023
39,10495
40,12928
41,9901
42,6135
43,6442
44,7610
45,6968
46,6721
47,6647
48,4925
49,4042
50,4443
51,5934
52,7025
53,4926
54,4666
55,3951
56,3314
57,5288
58,6317
59,7143
60,8008
61,9874
62,8539
63,4799
64,3825
65,4906
66,4620
67,3959
68,3257
69,3665
70,2454
71,2115
72,2699
73,1901
74,1621
75,828
76,1245
77,1349
78,1542
79,2189
80,2003
81,1708
82,1468
83,2788
84,2418
85,3098
86,4722
87,4266
88,4352
89,4239
90,3579
91,3630
92,3667
93,4587
94,5004
95,4093
96,3836
97,3668
98,2603
99,3424
100,4839
101,4254
102,3754
103,4138
104,3594
105,3703
106,4727
107,7125
108,7653
109,7812
110,9397
111,7683
112,4692
113,3851
114,5101
115,4463
116,4214
117,4013
118,3666
119,2621
120,3367
121,9497
122,4077
123,3721
124,3729
125,2920
126,2377
127,3845
128,4037
129,4825
130,4002
131,3840
132,3405
133,3066
134,3553
135,4778
136,4573
137,4768
138,4217
139,3424
140,3429
141,5428
142,7140
143,7056
144,7355
145,10134
146,7984
147,3737
148,4005
149,4624
150,4408
151,3868
152,3414
153,3197
154,2815
155,3248
156,4193
157,3287
158,3349
159,3649
160,2924
161,2536
162,2932
163,4008
164,3445
165,3149
166,3789
167,2534
168,1856
169,2069
170,3329
171,3418
172,2782
173,2325
174,1954
175,1465
176,1464
177,2206
178,2714
179,2609
180,2181
181,1800
182,1805
183,2007
184,3183
185,3194
186,2822
187,2777
188,2292
189,2555
190,3773
191,4629
192,5019
193,5654
194,6968
195,6096
196,2120
197,2407
198,3616
199,3985
200,3681
201,3077
202,2542
203,2315
204,3420
205,3735
206,5616
207,4157
208,3780
209,3219
210,2993
211,3321
212,4150
213,4102
214,3554
215,4765
216,4465
217,2966
218,4003
219,6110
220,5649
221,4918
222,4510
223,3696
224,2753
225,2924
226,4356
227,4631
228,4770
229,4509
230,4173
231,3179
232,5113
233,7060
234,7662
235,8160
236,8073
237,8490
238,9939
239,14892
240,9299
241,4987
242,3270
243,1583
244,1300
245,677
246,857
247,795
248,972
249,679
250,636
251,500
252,287
253,308
254,567
255,492
256,354
257,292
258,243
259,143
260,233
261,323
262,294
