date,total_clicks
-1,2994
0,4781
-2,3153
1,6846
-3,3359
2,7602
-4,3513
3,5612
-5,3946
4,5917
-6,2504
5,4568
-7,1178
6,3519
-8,1509
7,4389
-9,2688
8,5492
-10,2294
9,6074
-11,2608
10,6695
-12,2493
11,6006
-13,2551
12,4083
-14,2333
13,4729
-15,1871
14,5896
-16,2080
15,9037
-17,2803
16,10485
-18,4939
17,9760
18,11887
19,15547
20,3838
21,3279
22,4450
23,5017
24,5158
25,5630
26,4237
27,3332
28,3934
29,6030
30,7500
31,8134
32,8266
33,6316
34,2065
35,2076
36,3049
37,3560
38,3581
39,3363
40,3159
41,1769
42,2028
43,2976
44,3695
45,4382
46,3629
47,3304
48,2852
49,3107
50,4506
51,4662
52,4463
53,3474
54,3457
55,2341
56,2672
57,3703
58,4568
59,3521
60,3834
61,4021
62,2423
63,3235
64,4009
65,5882
66,6171
67,6209
68,5423
69,1054
70,1113
71,1496
72,1869
73,1689
74,1348
75,1174
76,1480
77,637
78,860
79,1111
80,1718
81,1484
82,1204
83,895
84,699
85,1472
86,1450
87,1234
88,1417
89,1364
90,1346
91,857
92,1280
93,1553
94,2018
95,1654
96,1555
97,1274
98,1382
99,1310
100,2446
101,2408
102,2452
103,2465
104,1866
105,1828
106,1979
107,3009
108,3535
109,2785
110,3515
111,2796
112,2810
113,3335
114,4756
115,5634
116,6027
117,4464
118,1766
119,1927
120,2751
121,4594
122,4370
123,5643
124,4569
125,3310
126,2952
127,4319
128,6930
129,5757
130,6327
131,5413
132,3526
133,4078
134,5459
135,6989
136,5920
137,6443
138,5619
139,3739
140,3271
141,7275
142,8037
143,7849
144,7492
145,6746
146,5330
147,5629
148,8571
149,9593
150,11443
151,11757
152,7940
153,1760
154,1074
155,1564
156,1942
157,1872
158,1569
159,1817
160,1208
161,1000
162,1416
163,1372
164,1873
165,1751
166,1985
167,1598
168,1362
169,1484
170,1371
171,1617
172,1496
173,1514
174,1565
175,1183
176,1368
177,1742
178,1613
179,1193
180,1528
181,1228
182,1543
183,1400
184,2058
185,1742
186,1660
187,2166
188,1182
189,1350
190,2493
191,2963
192,2750
193,3352
194,4608
195,1199
196,767
197,1377
198,1889
199,1623
200,1516
201,1402
202,1064
203,1073
204,1451
205,2074
206,2260
207,2054
208,1642
209,989
210,1666
211,1187
212,1949
213,1963
214,1936
215,2150
216,2605
217,2381
220,2525
221,2123
222,2009
223,1476
224,2263
225,3712
226,4555
227,4583
228,2266
229,475
230,280
231,131
232,112
233,205
234,181
235,358
236,258
237,165
238,35
239,96
240,112
241,97
