date,total_clicks
-1,27977
0,35087
-2,24186
1,36598
-3,12734
2,41579
-4,15182
3,41343
-5,11126
4,36903
-6,8835
5,31376
-7,7790
6,28101
-8,8423
7,26232
-9,9547
8,33541
-10,10554
9,38851
-11,9773
10,31092
-12,11526
11,33167
-13,8745
12,30842
-14,6434
13,25370
-15,7730
14,30388
-16,11305
15,40649
-17,13601
16,50926
-18,26322
17,51244
18,58175
19,41858
20,29291
21,29823
22,33314
23,37715
24,33818
25,28925
26,25545
27,22559
28,22223
29,29505
30,32858
31,31528
32,28288
33,26266
34,20570
35,21045
36,27288
37,30383
38,28581
39,28585
40,25831
41,18809
42,19613
43,29945
44,35649
45,34168
46,42867
47,36037
48,18769
49,18705
50,24590
51,24757
52,23978
53,27192
54,22389
55,15010
56,14641
57,17431
58,20027
59,18028
60,16655
61,14335
62,12614
63,10931
64,14851
65,19892
66,18902
67,15383
68,14568
69,9253
70,9936
71,13024
72,16406
73,16161
74,13054
75,11607
76,7261
77,6458
78,9338
79,8255
80,4468
81,2478
82,4635
83,8915
84,10902
85,12052
86,15882
87,12068
88,10315
89,19705
90,17452
91,17611
92,25144
93,27303
94,31043
95,36325
96,33876
97,17257
98,17089
99,20154
100,22843
101,19515
102,20412
103,19205
104,16734
105,14010
106,17707
107,21113
108,17467
109,17948
110,15511
111,12276
112,10667
113,15851
114,17726
115,14170
116,13888
117,12579
118,9280
119,9224
120,12637
121,15537
122,15641
123,15129
124,15508
125,11271
126,15118
127,20662
128,24541
129,33082
130,38763
131,24837
132,11662
133,11987
134,16380
135,19734
136,17757
137,18619
138,17883
139,15331
140,14292
141,19530
142,23181
143,23253
144,20861
145,17321
146,14377
147,15520
148,17794
149,21647
150,20236
151,20558
152,25790
153,15106
154,16258
155,21824
156,22142
157,18613
158,19518
159,15422
160,11651
161,10562
162,13680
163,18801
164,18276
165,17802
166,16110
167,14438
168,14220
169,18768
170,24111
171,25711
172,30392
173,22934
174,10315
175,9061
176,9230
177,17497
178,14902
179,16473
180,16282
181,11150
182,9832
183,13133
184,15835
185,14088
186,10888
187,9288
188,10938
189,9257
190,9283
191,12191
192,11388
193,13315
194,12721
195,9985
196,9171
197,10796
198,13045
199,13111
200,14344
201,12226
202,9537
203,11448
204,13700
205,15686
206,14879
207,13052
208,20994
209,12739
210,11108
211,16113
212,25031
213,24169
214,22252
215,18654
216,14464
217,19690
218,23997
219,23244
220,17923
221,18734
222,17396
223,14293
224,18449
225,21239
226,26088
227,23943
228,21172
229,21865
230,18385
231,24434
232,30691
233,48401
234,49777
235,54672
236,45182
237,2369
238,1478
239,1405
240,1688
241,1291
242,1066
243,1173
244,995
245,901
246,995
247,941
248,1026
249,810
250,605
251,740
252,450
253,440
254,921
255,676
256,927
257,749
258,543
259,317
260,453
261,692
262,589
263,614
264,571
265,465
266,382
267,301
268,600
