date,total_clicks
-1,11155
0,23062
-2,10435
1,25756
-3,7008
2,24829
-4,7223
3,24187
-5,6566
4,21414
-6,5095
5,19645
-7,4545
6,17753
-8,3927
7,16969
-9,6607
8,18605
-10,5059
9,20725
-11,5465
10,20984
-12,6299
11,18121
-13,4512
12,18397
-14,5329
13,14402
-15,5021
14,17134
-16,6582
15,19421
-17,9183
16,22884
-18,13344
17,22211
18,24841
19,20409
20,18645
21,19929
22,30063
23,34114
24,25096
25,19462
26,15951
27,12787
28,12122
29,16548
30,20682
31,17882
32,17732
33,16584
34,11815
35,12016
36,14997
37,15200
38,13547
39,12409
40,11911
41,8721
42,9164
43,12493
44,14055
45,14213
46,14016
47,12950
48,12047
49,18028
50,23579
51,28424
52,22583
53,15194
54,12703
55,11049
56,8573
57,8779
58,12126
59,12148
60,11593
61,10364
62,8461
63,8823
64,8553
65,12205
66,12758
67,11592
68,10410
69,8184
70,8264
71,8808
72,9895
73,10059
74,8956
75,7093
76,6986
77,6786
78,8645
79,10518
80,11694
81,12386
82,10556
83,9222
84,12506
85,16773
86,21826
87,14109
88,8258
89,9137
90,6445
91,9765
92,9401
93,12584
94,12997
95,12230
96,12708
97,7843
98,8124
99,9107
100,12165
101,9882
102,9786
103,6579
104,7057
105,5628
106,8018
107,9681
108,9695
109,7680
110,7346
111,5383
112,5255
113,7161
114,7618
115,8259
116,8880
117,7466
118,4889
119,5077
120,6969
121,8752
122,9102
123,9131
124,10910
125,8442
126,12658
127,17269
128,24346
129,18040
130,10601
131,7698
132,6476
133,8044
134,8920
135,12955
136,12413
137,11419
138,9481
139,8948
140,7581
141,11500
142,13624
143,13910
144,12340
145,9165
146,7985
147,10763
148,13554
149,13103
150,9986
151,11775
152,10624
153,6747
154,7819
155,8416
156,11022
157,10613
158,9964
159,8057
160,6253
161,6802
162,7253
163,9232
164,11104
165,11044
166,10306
167,7732
168,9269
169,13165
170,19218
171,14823
172,7985
173,8128
174,6251
175,6601
176,8997
177,10948
178,9955
179,11320
180,8362
181,5544
182,6786
183,7903
184,8763
185,9401
186,10533
187,7979
188,8582
189,7485
190,8943
191,10474
192,13262
193,12454
194,12688
195,8417
196,8434
197,10526
198,10682
199,12080
200,11362
201,8610
202,6187
203,7902
204,9766
205,13742
206,12567
207,13960
208,10597
209,10767
210,9639
211,13557
212,11276
213,12960
214,9926
215,11684
216,10643
217,10133
220,19429
221,19833
222,17700
223,19484
224,25785
225,35088
226,41598
227,29939
228,1741
229,1241
230,663
231,471
232,573
233,554
234,760
235,649
236,481
237,470
238,251
239,272
240,398
241,585
