date,total_clicks
-1,1831
0,2172
-2,1712
1,2921
-3,1593
2,3616
-4,1681
3,2794
-5,2148
4,2588
-6,1681
5,2134
-7,1812
6,1266
-8,3101
7,1352
8,1836
9,2471
10,2334
11,1794
12,1296
13,983
14,1028
15,1500
16,1764
17,1550
18,1339
19,1097
20,885
21,730
22,954
23,1422
24,1005
25,1074
26,999
27,915
28,523
29,1047
30,1179
31,1339
32,1628
33,1046
34,858
35,536
36,815
37,1358
38,1194
39,1300
40,983
41,903
42,606
43,821
44,1019
45,1234
46,1076
47,1428
48,735
49,916
50,920
51,1427
52,1262
53,1168
54,1235
55,899
56,761
57,895
58,1774
59,1929
60,1921
61,1634
62,1475
63,808
64,1295
65,1361
66,1775
67,1687
68,1311
69,1140
70,2294
71,2454
72,2275
73,1799
74,1704
75,1528
76,863
77,784
78,1240
79,1360
80,1918
81,2046
82,1754
83,1532
84,767
85,1466
86,2140
87,1822
88,1543
89,1594
90,1014
91,697
92,1185
93,1307
94,1385
95,1657
96,1343
97,1153
98,1109
99,1387
100,2224
101,1581
102,1332
103,1172
104,938
105,730
106,1048
107,1298
108,1516
109,1319
110,1321
111,740
112,788
113,765
114,1331
115,1827
116,2557
117,1835
118,1990
119,2531
120,2153
121,2796
122,2960
123,3025
124,2688
125,1721
126,1806
127,2106
128,3557
129,2504
130,2802
131,1993
132,991
133,1633
134,1809
135,2430
136,2645
137,1896
138,2129
139,2009
140,1751
141,2485
142,4023
143,2923
144,3191
145,2393
146,2293
147,1985
148,2362
149,2660
150,2310
151,2324
152,1813
153,1467
154,1435
155,2122
156,2634
157,2572
158,2296
159,2015
160,1636
161,896
162,2171
163,2637
164,3009
165,3403
166,2357
167,1187
168,1305
169,1528
170,1945
171,1827
172,1640
173,1580
174,1397
175,1434
176,2331
177,2382
178,2658
179,1735
180,1802
181,1913
182,1622
183,1767
184,2261
185,2234
186,2118
187,2029
188,1389
189,2344
190,3088
191,3370
192,2662
193,2230
194,2419
195,2149
196,1267
197,2161
198,2195
199,2705
200,2192
201,1711
202,1626
203,2191
204,2518
205,3664
206,3015
207,2342
208,2533
209,2043
210,1614
211,2287
212,2821
213,2587
214,3677
215,3009
216,2046
217,2813
220,5451
221,7405
222,4890
223,374
224,169
225,108
226,263
227,180
228,166
229,204
230,78
231,72
232,125
233,129
234,186
235,138
236,134
237,106
238,28
239,90
240,84
241,44
