module_presentation,date,total_clicks
AAA_2013J,-10,11952
BBB_2013B,-9,11609
BBB_2013B,1,10469
BBB_2013B,2,21256
BBB_2013B,3,15853
BBB_2013B,4,14584
BBB_2013B,5,11603
BBB_2013B,8,11048
BBB_2013B,9,13282
BBB_2013B,10,10494
BBB_2013B,11,11019
BBB_2013B,15,11667
BBB_2013B,16,14462
BBB_2013B,17,14735
BBB_2013B,18,15733
BBB_2013B,19,12728
BBB_2013B,23,10156
BBB_2013B,30,12529
BBB_2013B,44,12074
BBB_2013B,45,10988
BBB_2013B,46,12715
BBB_2013B,51,10357
BBB_2013B,226,14230
BBB_2013J,-10,16150
BBB_2013J,2,19872
BBB_2013J,3,12933
BBB_2013J,4,11490
BBB_2013J,8,10096
BBB_2013J,9,10905
BBB_2013J,10,10377
BBB_2013J,15,11091
BBB_2013J,16,12073
BBB_2013J,17,12887
BBB_2013J,18,12157
BBB_2013J,30,12635
BBB_2013J,31,10253
BBB_2013J,44,11539
BBB_2013J,45,12086
BBB_2013J,46,11385
BBB_2013J,51,10079
BBB_2013J,53,10296
BBB_2013J,95,11081
BBB_2013J,165,11817
BBB_2013J,241,12353
BBB_2014B,2,12010
BBB_2014J,-9,24653
BBB_2014J,-8,10817
BBB_2014J,-5,11726
BBB_2014J,0,10524
BBB_2014J,1,10500
BBB_2014J,2,15470
BBB_2014J,3,13042
BBB_2014J,4,10410
BBB_2014J,9,11248
BBB_2014J,16,10681
BBB_2014J,17,11771
BBB_2014J,18,10067
BBB_2014J,37,10515
BBB_2014J,38,10245
BBB_2014J,39,10300
BBB_2014J,40,10971
BBB_2014J,92,10015
BBB_2014J,93,12500
BBB_2014J,94,10400
BBB_2014J,95,11864
BBB_2014J,96,10055
BBB_2014J,106,10064
BBB_2014J,107,10952
BBB_2014J,108,11300
BBB_2014J,109,11614
BBB_2014J,148,10947
BBB_2014J,149,13820
BBB_2014J,150,12436
BBB_2014J,151,14053
BBB_2014J,198,11135
BBB_2014J,199,11162
BBB_2014J,200,13835
BBB_2014J,233,11447
BBB_2014J,234,14263
BBB_2014J,235,14788
