"code_module","code_presentation","id_student","id_site","date","sum_click"
"DDD","2013B","321525","547937","0","1"
"FFF","2013B","560199","527230","17","1"
"AAA","2013J","721259","546614","19","1"
"FFF","2013J","289221","716216","169","2"
"EEE","2014J","581851","832780","57","1"
"EEE","2014B","620414","790732","25","4"
"FFF","2014B","2383307","779349","23","7"
"BBB","2014J","518389","913473","55","1"
"FFF","2013B","383541","527170","80","2"
"EEE","2013J","601757","551010","157","4"
"FFF","2014J","699126","882545","18","2"
"EEE","2013J","611202","551162","73","4"
"EEE","2014B","612449","790824","41","1"
"EEE","2014J","678538","832713","195","1"
"FFF","2014B","631925","779653","13","1"
"FFF","2013J","532121","716749","75","1"
"EEE","2014J","602707","832565","200","1"
"DDD","2013J","491926","674074","163","2"
"FFF","2013B","532608","526738","89","3"
"AAA","2013J","905042","546736","208","5"
"FFF","2014J","319073","882610","78","33"
"FFF","2013B","391822","526738","33","5"
"DDD","2014J","609245","813955","95","1"
"BBB","2013J","593513","704075","23","1"
"FFF","2013J","527775","716652","18","1"
"FFF","2013J","432592","716640","62","1"
"BBB","2014J","646659","913690","-6","2"
"DDD","2013J","74502","673519","109","5"
"DDD","2014J","585526","813701","237","2"
"FFF","2014J","656791","882608","168","1"
"BBB","2013J","604200","704229","45","1"
"FFF","2013J","566009","716262","-5","2"
"FFF","2013B","560046","526757","137","11"
"FFF","2013J","537328","716432","115","46"
"FFF","2014J","693373","882620","166","1"
"FFF","2013B","346207","526845","27","9"
"FFF","2013J","382738","716324","130","20"
"FFF","2013J","565990","716240","1","1"
"FFF","2014B","2010245","779262","152","3"
"BBB","2013B","1574398","542807","109","15"
"FFF","2014J","657344","882545","90","1"
"FFF","2014B","617868","779342","8","3"
"BBB","2014B","608164","768351","64","1"
"FFF","2013J","2548055","716734","55","1"
"BBB","2013B","263499","542807","23","8"
"FFF","2014J","169596","882632","89","1"
"GGG","2014J","691519","896976","36","1"
"BBB","2013J","591223","703737","97","8"
"FFF","2013J","607794","716317","47","2"
"FFF","2013J","603389","716452","206","1"
"FFF","2013J","393526","716238","110","1"
"DDD","2013B","131235","547272","25","3"
"BBB","2014J","609927","913490","107","1"
"EEE","2014J","648370","832567","223","1"
"DDD","2014J","340627","814279","108","1"
"CCC","2014J","541482","909289","109","1"
"FFF","2014J","656414","882545","143","2"
"FFF","2013B","543415","526738","45","1"
"BBB","2014J","681289","913520","38","2"
"FFF","2013J","502517","716216","51","1"
"AAA","2014J","58316","877095","46","1"
"GGG","2013J","591198","661612","201","1"
"DDD","2014J","650376","814038","30","1"
"FFF","2013J","569167","716238","61","3"
"BBB","2014J","2242067","913509","49","2"
"FFF","2014B","625191","779089","184","5"
"FFF","2014J","644974","882537","110","3"
"FFF","2014J","693345","883024","22","1"
"DDD","2013J","169079","673519","59","2"
"DDD","2014B","634905","772729","38","1"
"BBB","2014B","1588208","768348","6","8"
"FFF","2013B","498554","526741","100","1"
"BBB","2014B","634230","768348","191","12"
"CCC","2014B","2607849","729680","191","1"
"DDD","2013J","582554","674105","4","1"
"CCC","2014J","1068316","909020","7","10"
"EEE","2013J","234311","551011","-2","2"
"FFF","2013B","442436","527360","31","1"
"FFF","2013B","529569","527204","157","2"
"DDD","2014J","629703","813962","177","1"
"DDD","2014J","592221","813701","60","1"
"EEE","2014B","627390","790835","3","1"
"BBB","2014B","1625718","768336","179","1"
"FFF","2013J","578519","716432","47","1"
"DDD","2014J","655128","814074","198","2"
"EEE","2014J","688662","832566","185","1"
"BBB","2013B","553502","543324","197","1"
"FFF","2013J","561031","716649","41","1"
"AAA","2014J","70011","877134","94","1"
"FFF","2013J","594280","716263","67","1"
"FFF","2013B","2424750","527261","144","3"
"DDD","2013B","559469","547947","82","2"
"FFF","2014J","149178","882596","119","2"
"BBB","2013J","551234","703732","212","1"
"DDD","2013J","261495","674095","120","1"
"CCC","2014B","602718","730035","101","1"
"DDD","2014J","637691","813701","18","3"
"EEE","2014J","2533383","832726","-7","8"
"DDD","2014J","524427","813935","60","4"
"FFF","2014J","652788","882537","197","4"
"DDD","2014B","623815","772729","216","2"
"GGG","2013J","593954","661572","-13","1"
"AAA","2014J","149741","877028","-17","4"
"FFF","2014J","683934","882629","170","2"
"FFF","2013J","485671","716643","210","1"
"BBB","2014J","298187","913734","228","3"
"CCC","2014B","466289","729793","207","26"
"FFF","2013J","605269","716660","2","1"
"FFF","2013B","2496748","526754","181","1"
"BBB","2013J","2557885","703721","-10","34"
"CCC","2014B","278861","730006","-14","1"
"BBB","2013B","545658","542864","87","2"
"FFF","2014B","425332","779652","52","1"
"FFF","2014B","277577","779351","24","16"
"FFF","2014J","155938","882545","8","1"
"FFF","2013J","381959","716431","49","1"
"FFF","2014B","559876","779089","209","6"
"DDD","2013B","320014","547303","235","1"
"FFF","2013B","549239","527187","119","1"
"FFF","2013J","2548055","716378","16","15"
"DDD","2014J","555989","814281","200","1"
"DDD","2014J","650434","813956","115","1"
"FFF","2013B","1532840","526845","0","16"
"FFF","2013B","554435","527497","97","3"
"FFF","2014J","653045","883088","50","2"
"BBB","2013B","476710","543094","-8","1"
"FFF","2013B","478337","526721","36","1"
"BBB","2014J","588062","913657","20","1"
"DDD","2013B","552661","547947","51","1"
"FFF","2013J","1390051","716745","17","1"
"GGG","2014J","685338","896943","84","2"
"DDD","2013B","435423","547945","127","1"
"DDD","2013J","600242","673539","195","2"
"DDD","2013J","983970","673519","236","3"
"EEE","2014J","686564","832672","110","6"
"FFF","2013B","532428","527129","38","1"
"BBB","2013J","606355","703895","98","7"
"BBB","2014B","519859","768517","88","1"
"FFF","2013B","529689","527261","139","1"
"DDD","2013B","2358423","547747","22","1"
"AAA","2013J","146188","546614","15","3"
"BBB","2014B","556877","768351","28","2"
"CCC","2014J","379406","909232","144","3"
"EEE","2013J","611564","551012","110","2"
"FFF","2013B","393934","527203","75","2"
